group,task,method,seed,source_path,normalized_path,original_size,fitted_size,offset
e2_result,bowl_apple_inside,flowalign,11,outputs/e2_rf_comparison/bowl_apple_inside/flowalign/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/flowalign/seed_11.png,512x512,512x512,"0,0"
e2_result,bowl_apple_inside,flowalign,12,outputs/e2_rf_comparison/bowl_apple_inside/flowalign/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/flowalign/seed_12.png,512x512,512x512,"0,0"
e2_result,bowl_apple_inside,flowedit,10,outputs/e2_rf_comparison/bowl_apple_inside/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/flowedit/seed_10.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,flowedit,11,outputs/e2_rf_comparison/bowl_apple_inside/flowedit/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/flowedit/seed_11.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,flowedit,12,outputs/e2_rf_comparison/bowl_apple_inside/flowedit/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/flowedit/seed_12.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,splitflow,10,outputs/e2_rf_comparison/bowl_apple_inside/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/splitflow/seed_10.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,splitflow,11,outputs/e2_rf_comparison/bowl_apple_inside/splitflow/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/splitflow/seed_11.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,splitflow,12,outputs/e2_rf_comparison/bowl_apple_inside/splitflow/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/splitflow/seed_12.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,support_v3_controller_rmsgap,10,outputs/e2_rf_comparison/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/support_v3_controller_rmsgap/seed_10.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,support_v3_controller_rmsgap,11,outputs/e2_rf_comparison/bowl_apple_inside/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/support_v3_controller_rmsgap/seed_11.png,512x336,512x336,"0,88"
e2_result,bowl_apple_inside,support_v3_controller_rmsgap,12,outputs/e2_rf_comparison/bowl_apple_inside/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/bowl_apple_inside/support_v3_controller_rmsgap/seed_12.png,512x336,512x336,"0,88"
e2_result,tshirt_star,flowalign,10,outputs/e2_rf_comparison/tshirt_star/flowalign/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/flowalign/seed_10.png,512x512,512x512,"0,0"
e2_result,tshirt_star,flowalign,11,outputs/e2_rf_comparison/tshirt_star/flowalign/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/flowalign/seed_11.png,512x512,512x512,"0,0"
e2_result,tshirt_star,flowalign,12,outputs/e2_rf_comparison/tshirt_star/flowalign/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/flowalign/seed_12.png,512x512,512x512,"0,0"
e2_result,tshirt_star,flowedit,10,outputs/e2_rf_comparison/tshirt_star/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/flowedit/seed_10.png,512x336,512x336,"0,88"
e2_result,tshirt_star,flowedit,11,outputs/e2_rf_comparison/tshirt_star/flowedit/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/flowedit/seed_11.png,512x336,512x336,"0,88"
e2_result,tshirt_star,flowedit,12,outputs/e2_rf_comparison/tshirt_star/flowedit/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/flowedit/seed_12.png,512x336,512x336,"0,88"
e2_result,tshirt_star,splitflow,10,outputs/e2_rf_comparison/tshirt_star/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/splitflow/seed_10.png,512x336,512x336,"0,88"
e2_result,tshirt_star,splitflow,11,outputs/e2_rf_comparison/tshirt_star/splitflow/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/splitflow/seed_11.png,512x336,512x336,"0,88"
e2_result,tshirt_star,splitflow,12,outputs/e2_rf_comparison/tshirt_star/splitflow/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/splitflow/seed_12.png,512x336,512x336,"0,88"
e2_result,tshirt_star,support_v3_controller_rmsgap,10,outputs/e2_rf_comparison/tshirt_star/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/support_v3_controller_rmsgap/seed_10.png,512x336,512x336,"0,88"
e2_result,tshirt_star,support_v3_controller_rmsgap,11,outputs/e2_rf_comparison/tshirt_star/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/support_v3_controller_rmsgap/seed_11.png,512x336,512x336,"0,88"
e2_result,tshirt_star,support_v3_controller_rmsgap,12,outputs/e2_rf_comparison/tshirt_star/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/tshirt_star/support_v3_controller_rmsgap/seed_12.png,512x336,512x336,"0,88"
e2_result,red_chair_blue,flowalign,10,outputs/e2_rf_comparison/red_chair_blue/flowalign/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/flowalign/seed_10.png,512x512,512x512,"0,0"
e2_result,red_chair_blue,flowalign,11,outputs/e2_rf_comparison/red_chair_blue/flowalign/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/flowalign/seed_11.png,512x512,512x512,"0,0"
e2_result,red_chair_blue,flowalign,12,outputs/e2_rf_comparison/red_chair_blue/flowalign/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/flowalign/seed_12.png,512x512,512x512,"0,0"
e2_result,red_chair_blue,flowedit,10,outputs/e2_rf_comparison/red_chair_blue/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/flowedit/seed_10.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,flowedit,11,outputs/e2_rf_comparison/red_chair_blue/flowedit/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/flowedit/seed_11.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,flowedit,12,outputs/e2_rf_comparison/red_chair_blue/flowedit/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/flowedit/seed_12.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,splitflow,10,outputs/e2_rf_comparison/red_chair_blue/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/splitflow/seed_10.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,splitflow,11,outputs/e2_rf_comparison/red_chair_blue/splitflow/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/splitflow/seed_11.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,splitflow,12,outputs/e2_rf_comparison/red_chair_blue/splitflow/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/splitflow/seed_12.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,support_v3_controller_rmsgap,10,outputs/e2_rf_comparison/red_chair_blue/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/support_v3_controller_rmsgap/seed_10.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,support_v3_controller_rmsgap,11,outputs/e2_rf_comparison/red_chair_blue/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/support_v3_controller_rmsgap/seed_11.png,368x512,368x512,"72,0"
e2_result,red_chair_blue,support_v3_controller_rmsgap,12,outputs/e2_rf_comparison/red_chair_blue/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/red_chair_blue/support_v3_controller_rmsgap/seed_12.png,368x512,368x512,"72,0"
e2_result,pillow_vertical_fabric_strip,flowalign,10,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/flowalign/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/flowalign/seed_10.png,512x512,512x512,"0,0"
e2_result,pillow_vertical_fabric_strip,flowalign,11,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/flowalign/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/flowalign/seed_11.png,512x512,512x512,"0,0"
e2_result,pillow_vertical_fabric_strip,flowalign,12,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/flowalign/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/flowalign/seed_12.png,512x512,512x512,"0,0"
e2_result,pillow_vertical_fabric_strip,flowedit,10,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/flowedit/seed_10.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,flowedit,11,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/flowedit/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/flowedit/seed_11.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,flowedit,12,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/flowedit/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/flowedit/seed_12.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,splitflow,10,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/splitflow/seed_10.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,splitflow,11,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/splitflow/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/splitflow/seed_11.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,splitflow,12,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/splitflow/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/splitflow/seed_12.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,support_v3_controller_rmsgap,10,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_10.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,support_v3_controller_rmsgap,11,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_11.png,336x512,336x512,"88,0"
e2_result,pillow_vertical_fabric_strip,support_v3_controller_rmsgap,12,outputs/e2_rf_comparison/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/pillow_vertical_fabric_strip/support_v3_controller_rmsgap/seed_12.png,336x512,336x512,"88,0"
e2_result,backpack_remove_toy_charm,flowalign,10,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_10.png,512x512,512x512,"0,0"
e2_result,backpack_remove_toy_charm,flowalign,11,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_11.png,512x512,512x512,"0,0"
e2_result,backpack_remove_toy_charm,flowalign,12,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/flowalign/seed_12.png,512x512,512x512,"0,0"
e2_result,backpack_remove_toy_charm,flowedit,10,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_10.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,flowedit,11,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_11.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,flowedit,12,outputs/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/flowedit/seed_12.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,splitflow,10,outputs/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_10.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,splitflow,11,outputs/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_11.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,splitflow,12,outputs/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/splitflow/seed_12.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,support_v3_controller_rmsgap,10,outputs/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,support_v3_controller_rmsgap,11,outputs/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11.png,384x512,384x512,"64,0"
e2_result,backpack_remove_toy_charm,support_v3_controller_rmsgap,12,outputs/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_rf_comparison/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12.png,384x512,384x512,"64,0"
