task,method,seed,success,failure_type,edit_correct,preservation_ok,artifact_level,review_image,result_image,notes
mug_heart,direct_target,11,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/direct_target/seed_11/result.png,
mug_heart,direct_target,12,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/direct_target/seed_12/result.png,
mug_heart,full_no_ref,10,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_ref/seed_10/result.png,
mug_heart,full_no_ref,11,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_ref/seed_11/result.png,
mug_heart,full_no_ref,12,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_ref/seed_12/result.png,
mug_heart,full_no_rec,10,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_rec/seed_10/result.png,
mug_heart,full_no_rec,11,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_rec/seed_11/result.png,
mug_heart,full_no_rec,12,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_rec/seed_12/result.png,
mug_heart,full_no_traj,10,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_traj/seed_10/result.png,
mug_heart,full_no_traj,11,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_traj/seed_11/result.png,
mug_heart,full_no_traj,12,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full_no_traj/seed_12/result.png,
mug_heart,full,10,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full/seed_10/result.png,
mug_heart,full,11,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full/seed_11/result.png,
mug_heart,full,12,,,,,,outputs/pretty_matrix/mug_heart_seed_method_review.png,outputs/pretty_matrix/mug_heart/full/seed_12/result.png,
backpack_remove_toy_charm,base_only,10,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/result.png,
backpack_remove_toy_charm,base_only,11,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_11/result.png,
backpack_remove_toy_charm,base_only,12,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_12/result.png,
backpack_remove_toy_charm,direct_target,10,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/result.png,
backpack_remove_toy_charm,direct_target,11,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_11/result.png,
backpack_remove_toy_charm,direct_target,12,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_12/result.png,
backpack_remove_toy_charm,full_no_ref,10,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_ref/seed_10/result.png,
backpack_remove_toy_charm,full_no_ref,11,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_ref/seed_11/result.png,
backpack_remove_toy_charm,full_no_ref,12,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_ref/seed_12/result.png,
backpack_remove_toy_charm,full_no_rec,10,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_rec/seed_10/result.png,
backpack_remove_toy_charm,full_no_rec,11,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_rec/seed_11/result.png,
backpack_remove_toy_charm,full_no_rec,12,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_rec/seed_12/result.png,
backpack_remove_toy_charm,full_no_traj,10,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_traj/seed_10/result.png,
backpack_remove_toy_charm,full_no_traj,11,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_traj/seed_11/result.png,
backpack_remove_toy_charm,full_no_traj,12,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full_no_traj/seed_12/result.png,
backpack_remove_toy_charm,full,10,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full/seed_10/result.png,
backpack_remove_toy_charm,full,11,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full/seed_11/result.png,
backpack_remove_toy_charm,full,12,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm_seed_method_review.png,outputs/pretty_matrix/backpack_remove_toy_charm/full/seed_12/result.png,
