task,method,seed,result,metadata,command,support_condition,notes,edit_success,preservation,locality,artifact,overall,failure_mode,visual_note,audit_source
tshirt_star,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.,2,4,3,2,2,partial_decal_blend_artifact,"A red fragment appears in the shirt region, but it is not a coherent star decal.",manual review of e2_support_matched seed10/seed11 grids
tshirt_star,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.,4,3,4,3,4,success,A clear red star is added on the shirt; minor shading/overlay artifacts remain.,manual review of e2_support_matched seed10/seed11 grids
tshirt_star,direct_target_raw,11,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.,1,2,1,4,1,target_miss_global_drift,Direct target changes pose/crop and leaves only a tiny mark rather than a clear red star.,manual review of e2_support_matched seed10/seed11 grids
tshirt_star,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.,1,4,3,3,2,target_miss,"Outside is preserved by construction, but the red star is absent or too weak.",manual review of e2_support_matched seed10/seed11 grids
tshirt_star,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.,2,4,3,2,2,partial_decal_blend_artifact,"A red fragment appears in the shirt region, but it is not a coherent star decal.",manual review of e2_support_matched seed10/seed11 grids
tshirt_star,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/tshirt_star/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.,4,3,4,3,4,success,A clear red star is added on the shirt; minor shading/overlay artifacts remain.,manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,direct_target_raw,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_10/command.txt,none,Raw direct target SD3 row; no support input.,3,2,2,3,2,global_drift_partial_removal,"Toy/charm is partly removed or changed, but the backpack and scene drift.",manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,direct_target_mask_blend,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.,2,4,3,2,2,partial_removal_blend_artifact,"Outside is preserved, but the toy/charm remains partially visible or cut at the boundary.",manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,flowedit_mask_blend,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_10/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.,1,3,2,2,1,target_miss_blend_artifact,Blended FlowEdit leaves or worsens the toy/charm region.,manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,support_v3_controller_rmsgap,10,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.,5,4,4,4,5,success,Toy/charm is removed while preserving the backpack and nearby structure.,manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,direct_target_raw,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_raw/seed_11/command.txt,none,Raw direct target SD3 row; no support input.,3,2,2,3,2,global_drift_partial_removal,"Toy/charm is partly removed or changed, but the backpack and scene drift.",manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,direct_target_mask_blend,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/direct_target_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * direct_target + (1-M_edit) * source.,2,4,3,2,2,partial_removal_blend_artifact,"Outside is preserved, but the toy/charm remains partially visible or cut at the boundary.",manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,flowedit_mask_blend,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/flowedit_mask_blend/seed_11/command.txt,posthoc fixed binary edit mask blend,Diagnostic only: output = M_edit * FlowEdit + (1-M_edit) * source.,1,3,2,2,1,target_miss_blend_artifact,Blended FlowEdit leaves or worsens the toy/charm region.,manual review of e2_support_matched seed10/seed11 grids
backpack_remove_toy_charm,support_v3_controller_rmsgap,11,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/metadata.json,outputs/e2_support_matched_diagnostic/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/command.txt,operation support plus clean-estimate feedback/projection,Full DeCE-RF row.,5,4,4,4,5,success,Toy/charm is removed while preserving the backpack and nearby structure.,manual review of e2_support_matched seed10/seed11 grids
